Enterobacterales,Pseudomonas,S. maltophilia,Acinetobacter,Staphylococcus,Enterococcus,"Streptococcus A,B,C,G",S. pneumoniae,Viridans group Streptococci,H. influenzae,M. catarrhalis,N. gonorrheae,N. meningitidis,Bacteroides,Prevotella,F. necrophorum,C. perfringens,C. acnes,C. difficile,H. pylori,L. monocytogenes,Pasteurella,Campylobacter jejuni and coli,Corynebacterium,Corynebacterium diphteriae and ulcerans,Aerococcus sanguinicola and urinae,K. kingae,Aeromonas,A. xylosoxidans,Vibrio,Bacillus,B. pseudomallei,Candida and Cryptococcus,Aspergillus
Salmonella enterica Mgulani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Miami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Middlesbrough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Midway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mikawasima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Millesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Milwaukee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Minna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mishmarhaemek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Miyazaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mjordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mkamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Moabit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mocamedes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Moero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Moers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mokola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Molade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Molesey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Monschaui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Montaigu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Montevideo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Montreal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Morbihan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Morehead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Morillons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Morningside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mornington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Morotai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Moroto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Moscow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Moualine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Moundou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mountmagnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mountpleasant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Moussoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mowanjum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mpouto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Muenchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Muguga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mulhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mundonobo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mundubbera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mygdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Myrria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Naestved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Nagoya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Nakuru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Namoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Namur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Nanergou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Nanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Nantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Napoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Narashino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Nashua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Naware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Nchanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ndjamena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ndolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Neftenbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Nessa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Nessziona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Neudorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Neukoelln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Neumuenster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Neunkirchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Newholland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Newjersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Newlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Newmexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Newport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Newrochelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Newyork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ngaparou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ngili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ngor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Niakhar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Niamey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Niarembe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Niederoderwitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Nieukerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Nijmegen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Nikolaifleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Niloese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Nima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Nimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Nitra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Niumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Njala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Nola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Nordrhein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Nordufer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Norton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Norwich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Nottingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Nowawes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Noya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Nuatja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Nyborg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Nyeko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Oakey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Oakland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Obogu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ochiogu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ochsenwerder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ockenheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Odienne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Odozi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Oerlikon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Oesterbro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Offa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ogbete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ohlstedt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Okatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Okefoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Okerara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Oldenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Olten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Omifisan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Omuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Onarimon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Onderstepoort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Onireke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ontario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Oran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Oranienburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Orbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ordonez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Orientalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Orion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Oritamerin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Orlando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Orleans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Os,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Oskarshamn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Oslo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Osnabrueck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Othmarschen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ottawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ouagadougou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ouakam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Oudwijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Overchurch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Overschie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Overvecht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Oxford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Oyonnax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Palamaner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Palime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Papuana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Parakou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Paratyphi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Parkroyal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Pasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Patience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Penarth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Penilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Pensacola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Perth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Petahtikve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Phaliron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Pharr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Picpus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Pietersburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Pisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Planckendael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ploufragan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Plumaugat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Plymouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Poano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Podiensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Poeseldorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Poitiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Pomona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Pontypridd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Poona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Portanigra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Portland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Potengi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Potosi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Potsdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Potto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Praha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Pramiso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Presov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Preston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Putten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Quebec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Quentin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Quincy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Quinhon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Quiniela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ramatgan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ramsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ratchaburi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Raus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Rawash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Reading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Rechovot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Redba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Redhill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Redlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Regent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Reinickendorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Remete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Remiremont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Remo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Reubeuss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Rhone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Rhydyfelin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Richmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Rideau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Riggil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Riogrande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Rissen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Rittersbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Riverside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Roan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Rochdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Rogy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Romanby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Roodepoort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Rosenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Rossleben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Rostock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Rothenburgsort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Rottnest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Rovaniemi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Royan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ruanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Rubislaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ruiru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Rumford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Runby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ruzizi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Saarbruecken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Saboya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Sada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Saintemarie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Saintpaul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Salford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Salinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Sally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Saloniki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Samaru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Sambre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Sandaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Sandiego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Sandow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Sanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Sangalkam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Sangera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Sanjuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Sanktgeorg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Sanktjohann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Sanktmarx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Santander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Santhiaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Santiago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Sao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Sapele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Saphra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Sara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Sarajane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Saugus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Scarborough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Schalkwijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Schleissheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Schoeneberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Schwabach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Schwarzengrund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Schwerin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
